0.828762 0.8674 0.987788 0.751063 0.647032 1.24793 1.00327 1.06817 0.925864 0.847233 1.12272 0.889967 1.19261 0.812481 1.23051 1.29106 1.04096 1.20662 1.54046 0.972752 0.993617 1.44198 1.0938 1.78099 1.58773 1.7209 1.30084 1.4998 1.4471 1.60676 0.867948 1.41956 1.53603 1.92713 1.34479 1.58256 1.46421 1.17079 2.1286 2.00126 2.61054 1.97083 2.06362 1.57827 1.74996 1.57186 1.67995 1.87705 1.90544 1.39636 1.15858 1.6316 1.60374 1.89171 1.89299 1.35757 1.05616 1.35307 1.39635 1.6015 1.01407 1.22862 1.33806 1.41695 1.1411 1.38305 0.826588 1.11885 1.32117 1.28134 1.3344 1.10477 1.01427 1.16179 0.653034 0.632589 0.785258 0.760159 0.800713 0.765754
0.926065 0.887648 0.654164 0.659448 0.750232 0.476945 1.21085 0.712984 0.929288 1.03214 1.33257 0.916946 1.1124 1.09631 1.16079 1.37743 0.675645 1.63978 1.10512 1.45783 1.55033 1.50726 1.25251 1.89852 1.51512 1.79089 1.30182 1.41555 1.90396 1.7133 1.53896 2.05873 1.38451 1.74227 1.92404 2.01443 1.55072 1.8085 1.64466 2.14656 1.6489 1.67386 1.67807 1.35296 2.21325 1.71888 1.39192 1.47441 1.87197 1.4605 1.14911 1.81514 1.55627 1.58971 1.38523 1.22966 1.52183 1.35137 1.1136 1.46125 1.2148 1.06447 1.06498 0.987249 1.06852 0.986696 0.878854 1.01206 0.871137 0.707091 0.658291 0.757449 0.748721 0.878703 0.71409 0.741653 1.09428 1.31439 0.639442 0.646932
0.64987 1.09052 0.803957 0.620149 0.905842 0.859697 1.04419 0.854023 0.832134 0.983521 1.05351 1.19484 0.654489 1.30682 0.823899 1.388 1.1411 1.37514 0.986931 1.41682 1.88242 1.15616 1.48675 1.27444 1.29123 1.87352 1.01115 1.71364 1.68142 1.45651 2.30201 1.7137 1.31153 1.75196 2.04635 2.10203 2.17547 1.49821 1.62032 1.83427 2.3694 1.63217 2.24284 1.66195 1.87464 1.67424 1.61534 2.19214 1.4535 1.54288 1.9435 1.74868 1.45446 1.36447 1.3682 1.55414 1.55345 1.99372 1.54983 0.991435 0.926307 1.27399 1.02774 0.840388 0.89919 1.46822 1.07171 1.30518 0.642694 1.39384 0.697879 0.899359 0.759765 0.788615 0.869913 0.508228 0.576967 1.05773 0.743357 0.813463
0.594334 0.805321 1.14563 0.771093 0.994968 0.89823 1.02797 1.18817 0.560838 1.10866 0.734268 1.51963 1.08492 0.656001 1.04979 1.11281 1.24755 1.1826 1.25304 1.25719 1.46551 1.55016 1.29735 1.25713 1.49966 1.41309 1.44734 1.54996 1.32569 1.42941 1.99451 1.29027 1.61401 2.3937 1.29691 1.46471 1.62789 1.40988 1.85829 1.68722 1.9751 1.60343 2.02435 2.06981 1.53199 2.05298 1.48129 1.80532 1.39826 1.43311 1.38141 1.5555 1.19474 2.0213 1.20784 1.59842 2.09635 1.69547 0.929719 1.01214 1.18178 1.50749 0.992091 1.30054 0.672943 0.67163 1.6304 0.859945 0.724324 1.24557 0.783911 0.951642 1.27335 1.14777 0.684602 1.11221 0.993689 0.980639 0.890111 0.834326
0.838618 0.970733 0.395445 0.810223 1.0641 1.05134 0.820837 0.682759 0.93574 1.05833 0.869943 0.908321 1.24431 0.936087 1.27189 1.31652 1.07909 1.80152 1.32249 0.963874 1.01333 1.52689 1.00403 2.01113 1.45119 1.65271 1.69279 1.03032 1.3352 1.24314 1.66088 1.34947 1.76092 1.43374 1.69194 2.42147 2.22624 1.74456 1.5448 1.7472 2.20021 1.52483 2.27114 1.89258 2.20588 1.73983 1.81389 1.63888 1.8064 1.92722 2.33664 1.65087 1.57253 1.70346 1.20178 1.77594 1.81197 1.33807 1.17018 0.972822 1.13446 1.22963 0.923256 1.33375 1.43303 0.798005 1.24271 0.923494 1.21441 1.09158 0.962973 1.01261 0.964609 0.900335 1.1476 0.746462 0.777172 0.917143 0.669201 0.958389
0.670599 1.08644 1.20926 0.982338 1.07147 0.666762 1.19 0.538274 1.34111 1.10485 0.958785 1.47031 0.973242 0.813914 1.04226 1.46157 1.28741 0.874437 1.43609 1.24187 1.86057 1.41363 1.40937 1.6327 1.27375 1.32231 1.9353 1.5287 1.60774 1.8351 1.60962 1.56264 1.12686 1.88112 2.05793 1.51748 1.68213 1.71963 1.6049 2.36706 1.62376 1.801 1.65406 1.92173 1.46288 2.05703 1.94993 1.31197 1.81851 1.84062 1.35609 1.76323 1.58545 1.53926 1.31671 1.00641 1.6342 1.23261 1.36976 1.66139 1.34892 1.38382 1.87509 1.20674 1.13384 0.88214 1.26382 1.21767 0.804683 1.0059 1.01657 0.77284 1.16929 0.687885 1.15225 1.1853 1.01224 0.652523 0.351166 0.61549
0.684353 1.17144 0.823708 0.705779 1.1664 0.705402 0.969886 0.83099 1.22858 0.859232 1.17946 1.65911 0.976893 1.23853 1.48022 1.04607 1.44502 1.50969 1.31817 1.70319 1.16862 1.87527 1.59402 1.68621 1.62882 1.58197 1.52398 1.31736 1.81301 1.66216 2.10505 1.99918 1.47483 1.55737 1.4732 1.27943 2.05949 1.78887 1.90809 2.07843 2.01903 2.23542 1.89595 2.02614 2.05002 2.37056 1.36556 1.70942 2.30585 1.72826 1.15384 1.55265 1.9237 1.57321 1.25466 1.38687 1.7866 1.43484 1.19848 1.6256 1.3861 1.15994 1.35009 1.32387 1.35158 0.989396 1.03244 1.08567 0.850342 0.687753 0.881242 1.12875 0.693363 1.03986 0.995523 0.908701 1.04296 0.929512 1.31483 1.18603
1.02564 1.01151 0.959738 1.34096 1.10598 0.902835 1.25641 1.10409 0.998725 1.3166 0.852617 1.28048 1.55296 1.03319 1.4261 1.47769 1.61343 1.08307 1.1578 1.01616 1.6267 1.88147 1.24585 1.9783 1.22848 1.57172 1.9484 1.87367 1.27879 1.86605 1.56596 1.77504 2.12705 1.80373 1.53598 2.23911 2.24571 2.03709 2.20407 1.58142 2.30236 2.37099 1.88251 1.49482 2.22846 1.91808 2.28437 1.25032 2.45723 1.44385 1.53015 1.85092 1.29331 1.7219 1.20977 1.40543 1.43209 1.17393 2.06448 1.51799 1.06578 1.52974 1.68711 1.47925 1.19957 1.15939 1.11211 1.40647 1.14545 1.06301 1.09816 0.88249 1.09013 1.24056 0.998165 0.576786 0.91845 1.14394 0.961778 1.08544
1.06327 0.955053 1.28858 1.11688 0.890139 0.910089 0.720472 1.56423 1.11337 1.15855 0.865676 1.07886 1.42314 1.19818 1.31833 1.49345 1.6448 1.41727 1.51051 1.24925 1.52224 1.58967 1.14195 1.09166 1.77257 1.46896 1.57483 1.87899 2.47751 1.00524 1.85761 1.76141 2.02815 2.39329 1.47278 1.99978 2.20684 2.35834 1.59159 2.47984 2.17055 1.50024 1.75145 2.12362 1.98646 2.25945 1.87648 2.1331 1.89483 1.63309 1.68946 1.28883 1.64245 1.33537 1.76114 1.47178 1.35347 1.2418 1.10638 1.32208 1.56633 1.39739 1.12636 1.52372 1.28402 1.85556 1.08781 0.797519 0.979277 1.27271 1.38274 0.982095 1.38384 0.998948 0.550525 0.901381 0.796279 0.861984 0.807688 1.24915
1.3073 0.898869 0.895616 1.10305 1.07691 1.38033 0.794412 0.987942 1.16308 1.15342 0.889405 1.18733 1.00844 1.22901 1.54617 0.79515 1.48725 1.41717 1.5037 1.8158 1.19 0.987749 1.27661 1.58609 1.33975 1.84479 1.96527 1.77331 1.73379 2.21671 2.1043 2.48482 1.57521 1.69786 2.24755 2.33645 1.69331 1.86568 1.70261 2.15259 3.54575 2.03699 2.24706 2.06734 2.30736 2.4255 1.89173 1.98644 1.24717 1.7032 1.86695 1.62949 1.92514 1.84332 1.71286 1.99119 2.06986 1.29255 1.78255 1.92577 1.48555 1.17553 0.929553 1.07787 1.05643 1.47601 1.41518 1.13931 1.17287 1.01089 0.989387 1.38039 1.43933 1.20473 0.814646 0.691856 0.901697 1.05039 0.743031 1.20867
